社区组织端午节龙舟比赛，气氛热烈,文化生活,表扬,低
楼道内堆放易燃物品，火灾隐患大,安全治理,抱怨,高
物业为小区安装监控摄像头，提升安全感,安全治理,表扬,低
垃圾分类点清洗不及时，地面脏污,环境卫生,抱怨,低
社区开展书法绘画比赛，丰富文化生活,文化生活,表扬,低
小区内乱拉电线充电，安全隐患严重,安全治理,抱怨,高
物业及时修复漏水管道，减少水资源浪费,安全治理,表扬,中
社区组织志愿者清扫落叶，环境更整洁,环境卫生,表扬,低
健身器材缺少使用说明，新手不会用,安全治理,抱怨,低
物业协助申请维修基金，解决大修问题,民生服务,表扬,中
小区内夜间照明不足，治安隐患大,安全治理,抱怨,中
社区开展亲子阅读活动，增进亲子关系,文化生活,表扬,低
垃圾投放点设置不合理，距离居民楼太远,环境卫生,抱怨,中
物业及时处理邻里纠纷，维护社区和谐,民生服务,表扬,低
电梯轿厢内卫生差，有异味,环境卫生,抱怨,低
社区组织中秋晚会，邻里团聚欢乐多,文化生活,表扬,低
消防通道被车辆占用，应急救援受阻,安全治理,抱怨,高
物业定期检查消防设施，确保完好有效,安全治理,表扬,低
小区内乱贴小广告，影响美观,环境卫生,抱怨,低
社区开展垃圾分类知识竞赛，寓教于乐,文化生活,表扬,低
楼道窗户破损，雨天漏水,安全治理,抱怨,中
物业为独居老人安装紧急呼叫装置,民生服务,表扬,低
小区内施工尘土飞扬，环境污染严重,环境卫生,抱怨,中
社区组织太极拳培训班，促进居民健康,文化生活,表扬,低
停车场道闸反应迟钝，经常砸车,安全治理,抱怨,中
物业及时清理僵尸车，释放停车资源,交通管理,表扬,中
小区内烧烤摊噪音扰民，持续到深夜,文化生活,抱怨,中
社区开展消防安全演练，提高应急能力,安全治理,表扬,低
垃圾分类桶数量不足，经常满溢,环境卫生,抱怨,中
物业协调安装健身器材，满足居民需求,安全治理,表扬,低
小区内养鸽扰民，羽毛粪便污染环境,环境卫生,抱怨,中
社区组织元宵灯会，传统节日氛围浓,文化生活,表扬,低
楼道防盗门损坏，无法正常关闭,安全治理,抱怨,中
物业及时修复破损路面，保障出行安全,安全治理,表扬,中
小区内商业广告过多，影响居住品质,民生服务,抱怨,低
社区开展邻里互助活动，共建和谐社区,文化生活,表扬,低
地下车库手机信号差，紧急时无法联系,安全治理,抱怨,中
物业定期组织业主座谈会，听取意见,民生服务,表扬,低
小区内乱搭晾衣绳，影响美观,环境卫生,抱怨,低
社区组织志愿者巡逻，提升安全感,安全治理,表扬,低
健身器材安装位置不合理，占用活动空间,安全治理,抱怨,中
物业及时处理水管爆裂，减少损失,安全治理,表扬,高
小区内KTV噪音扰民，影响休息,文化生活,抱怨,中
社区开展环保宣传活动，提高环保意识,环境卫生,表扬,低
楼道电表箱门损坏，存在触电风险,安全治理,抱怨,中
物业协助办理房产证，服务周到,民生服务,表扬,低
小区内废品回收点脏乱差，影响环境,环境卫生,抱怨,中
社区组织端午节民俗体验活动，传承文化,文化生活,表扬,低
消防设施被挪用，紧急时无法使用,安全治理,抱怨,高
物业及时清理排水沟，防止内涝,环境卫生,表扬,中
小区内棋牌室通宵营业，噪音扰民,文化生活,抱怨,中
社区开展防诈骗讲座，保护居民财产安全,安全治理,表扬,低
垃圾分类宣传不到位，居民分类意识差,环境卫生,抱怨,低
物业协调安装快递柜，方便居民取件,安全治理,表扬,低
小区内烧烤摊卫生条件差，食品安全堪忧,环境卫生,抱怨,中
社区组织重阳节敬老活动，弘扬传统美德,文化生活,表扬,低
楼道内停放自行车，堵塞通道,安全治理,抱怨,中
物业及时修复电梯故障，保障出行,安全治理,表扬,高
小区内广告牌设置混乱，影响市容,环境卫生,抱怨,低
社区开展读书分享会，营造书香氛围,文化生活,表扬,低
地下车库坡度太陡，车辆容易刮底,安全治理,抱怨,中
物业定期清洗垃圾桶，保持清洁,环境卫生,表扬,低
小区内宠物医院异味扩散，影响周边住户,环境卫生,抱怨,中
社区组织春节联欢晚会，欢乐祥和,文化生活,表扬,低
楼道内电线杂乱，存在安全隐患,安全治理,抱怨,中
物业及时处理马蜂窝，消除安全隐患,安全治理,表扬,中
小区内早餐摊油烟直排，污染空气,环境卫生,抱怨,中
社区开展手工制作活动，培养动手能力,文化生活,表扬,低
健身器材维护不及时，部分无法使用,安全治理,抱怨,中
物业协助申请加装电梯补贴，减轻负担,安全治理,表扬,中
小区内建筑垃圾随意堆放，粉尘污染,环境卫生,抱怨,中
社区组织观看国庆升旗仪式，爱国情怀浓,文化生活,表扬,低
消防报警系统误报频繁，影响正常生活,安全治理,抱怨,中
物业及时清理枯枝落叶，消除火灾隐患,环境卫生,表扬,低
小区内培训机构噪音扰民，影响学习休息,文化生活,抱怨,中
社区开展交通安全宣传，提高安全意识,安全治理,表扬,低
垃圾分类积分兑换礼品单一，缺乏吸引力,环境卫生,抱怨,低
物业协调安装儿童游乐设施，满足需求,安全治理,表扬,低
小区内水果摊喇叭叫卖，噪音扰民,环境卫生,抱怨,中
社区组织端午节香囊制作活动，传统有趣,文化生活,表扬,低
楼道内燃气管道锈蚀，存在泄漏风险,安全治理,抱怨,高
物业及时修复破损井盖，保障安全,安全治理,表扬,中
小区内美容院广告灯箱过亮，光污染严重,环境卫生,抱怨,低
社区开展心理健康讲座，缓解压力,文化生活,表扬,低
地下车库排水不畅，雨天积水严重,安全治理,抱怨,中
物业定期修剪树木，消除安全隐患,环境卫生,表扬,低
小区内麻将馆通宵营业，噪音扰民,文化生活,抱怨,中
社区组织志愿者清理小广告，美化环境,环境卫生,表扬,低
健身器材区域缺少遮阳设施，夏季暴晒,安全治理,抱怨,低
物业及时处理邻里养犬纠纷，化解矛盾,民生服务,表扬,低
小区内烧烤店油烟净化不到位，污染环境,环境卫生,抱怨,中
社区组织中秋月饼制作活动，增进感情,文化生活,表扬,低
楼道内消防通道标识不清，紧急时难找,安全治理,抱怨,中
物业协助安装电动车充电桩，规范管理,安全治理,表扬,中
小区内理发店音响过大，影响休息,文化生活,抱怨,低
社区开展普法宣传活动，提高法律意识,文化生活,表扬,低
垃圾分类督导员工作时间不合理,环境卫生,抱怨,低
物业协调安装监控摄像头，提升安防,安全治理,表扬,低
小区内早餐店污水直排，污染环境,环境卫生,抱怨,中
社区组织端午节龙舟模型制作活动,文化生活,表扬,低
楼道内应急疏散指示牌损坏,安全治理,抱怨,中
物业及时清理化粪池溢出，恢复卫生,环境卫生,表扬,中
小区内培训机构占用公共区域,文化生活,抱怨,低
社区开展应急救援培训，实用性强,安全治理,表扬,低
垃圾分类宣传材料发放不到位,环境卫生,抱怨,低
物业协助安装门禁系统，提升安全,安全治理,表扬,低
小区内烧烤摊占用消防通道,安全治理,抱怨,高
社区组织春节庙会活动，年味十足,文化生活,表扬,低
楼道内弱电箱门锁损坏,安全治理,抱怨,低
物业及时修复破损围墙，防止外人进入,安全治理,表扬,中
小区内水果店喇叭广告噪音大,环境卫生,抱怨,中
社区开展亲子运动会，增进亲子感情,文化生活,表扬,低
健身器材安装地面不平整,安全治理,抱怨,中
物业协调解决停车难问题，效果明显,交通管理,表扬,中
小区内美容院垃圾乱扔，影响卫生,环境卫生,抱怨,低
社区组织重阳节登山活动，促进健康,文化生活,表扬,低
楼道内灭火器压力不足,安全治理,抱怨,中
物业及时清理排水管道，防止堵塞,环境卫生,表扬,低
小区内KTV隔音效果差，噪音扰民,文化生活,抱怨,中
社区开展防溺水宣传，保障暑期安全,安全治理,表扬,低
垃圾分类点清洗频率不够,环境卫生,抱怨,低
物业协助安装路灯，改善夜间照明,安全治理,表扬,低
小区内废品回收车占道作业,环境卫生,抱怨,中
社区组织端午节民俗文化展,文化生活,表扬,低
楼道内通风窗损坏，无法正常开关,安全治理,抱怨,低
物业及时处理电梯困人事件，救援迅速,安全治理,表扬,高
小区内广告公司噪音扰民,文化生活,抱怨,低
社区开展消防安全知识竞赛,安全治理,表扬,低
垃圾分类指导员专业知识不足,环境卫生,抱怨,低
物业协调安装儿童安全护栏,安全治理,表扬,低
小区内餐饮店油烟排放不达标,环境卫生,抱怨,中
社区组织中秋赏月活动，温馨浪漫,文化生活,表扬,低
楼道内安全出口指示灯不亮,安全治理,抱怨,中
物业及时修复漏水消防管道,安全治理,表扬,中
小区内培训机构散发传单扰民,文化生活,抱怨,低
社区开展防震减灾演练，提高应对能力,安全治理,表扬,低
垃圾分类积分系统经常故障,环境卫生,抱怨,低
物业协助安装公共座椅，方便休息,安全治理,表扬,低
小区内烧烤店卫生状况差,环境卫生,抱怨,中
社区组织春节游园活动，欢乐祥和,文化生活,表扬,低
楼道内配电箱门未关闭,安全治理,抱怨,中
物业及时清理化粪池，消除异味,环境卫生,表扬,低
小区内美容院顾客停车混乱,交通管理,抱怨,低
社区开展急救技能培训，实用有效,安全治理,表扬,低
垃圾分类宣传展板内容陈旧,环境卫生,抱怨,低
物业协调安装监控探头，无死角覆盖,安全治理,表扬,低
小区内水果店占道经营严重,环境卫生,抱怨,中
社区组织端午节文化讲座，增长知识,文化生活,表扬,低
楼道内弱电井门锁损坏,安全治理,抱怨,低
物业及时修复破损路面，保障安全,安全治理,表扬,中
小区内培训机构音响声音过大,文化生活,抱怨,中
社区开展交通安全体验活动,安全治理,表扬,低
垃圾分类督导员态度冷漠,环境卫生,抱怨,低
物业协助安装健身路径，方便锻炼,安全治理,表扬,低
小区内餐饮店污水乱排,环境卫生,抱怨,中
社区组织重阳节文艺汇演，敬老爱老,文化生活,表扬,低
楼道内消防栓漏水,安全治理,抱怨,中
物业及时清理排水口，防止积水,环境卫生,表扬,低
小区内KTV低音炮震动扰民,文化生活,抱怨,中
社区开展防诈骗情景演练,安全治理,表扬,低
垃圾分类点蚊虫滋生严重,环境卫生,抱怨,中
物业协调安装电动车充电棚,安全治理,表扬,中
小区内水果摊垃圾随地丢弃,环境卫生,抱怨,中
社区组织春节联欢活动，热闹非凡,文化生活,表扬,低
楼道内电缆杂乱无章,安全治理,抱怨,中
物业及时修复破损井盖，消除隐患,安全治理,表扬,中
小区内美容院空调外机噪音大,文化生活,抱怨,低
社区开展消防安全疏散演练,安全治理,表扬,低
垃圾分类宣传单发放不及时,环境卫生,抱怨,低
物业协助安装公共晾衣架,安全治理,表扬,低
小区内餐饮店油烟扰民严重,环境卫生,抱怨,中
社区组织中秋灯谜活动，趣味十足,文化生活,表扬,低
楼道内应急照明灯失效,安全治理,抱怨,中
物业及时清理化粪池，改善环境,环境卫生,表扬,低
小区内培训机构占用消防通道,安全治理,抱怨,高
社区开展应急救援知识普及,安全治理,表扬,低
垃圾分类积分兑换点设置不合理,环境卫生,抱怨,低
物业协调安装门禁摄像头,安全治理,表扬,低
小区内烧烤店顾客喧哗扰民,文化生活,抱怨,中
社区组织春节传统文化体验,文化生活,表扬,低
楼道内电表箱锁具损坏,安全治理,抱怨,低
物业及时修复破损护栏，保障安全,安全治理,表扬,中
小区内水果店冷链机噪音大,环境卫生,抱怨,中
社区开展亲子阅读分享会,文化生活,表扬,低
健身器材安全警示牌缺失,安全治理,抱怨,低
物业协调解决停车纠纷，公平合理,交通管理,表扬,低
小区内美容院化学气味扩散,环境卫生,抱怨,中
社区组织重阳节茶话会，温馨和谐,文化生活,表扬,低
楼道内消防通道被杂物堵塞,安全治理,抱怨,高
物业及时清理排水系统，防止内涝,环境卫生,表扬,中
小区内KTV音响低频扰民,文化生活,抱怨,中
社区开展防溺水安全宣传,安全治理,表扬,低
垃圾分类督导员巡查不到位,环境卫生,抱怨,低
物业协助安装公共饮水机,安全治理,表扬,低
小区内餐饮店厨余垃圾处理不当,环境卫生,抱怨,中
社区组织端午节民俗体验,文化生活,表扬,低
楼道内弱电间卫生状况差,安全治理,抱怨,低
物业及时修复电梯故障，恢复正常,安全治理,表扬,高
小区内培训机构晚间授课扰民,文化生活,抱怨,中
社区开展消防安全知识讲座,安全治理,表扬,低
垃圾分类宣传覆盖面不够广,环境卫生,抱怨,低
物业协调安装儿童游乐设施,安全治理,表扬,低
小区内水果店果皮乱扔,环境卫生,抱怨,中
社区组织中秋文艺晚会，精彩纷呈,文化生活,表扬,低
楼道内配电箱警示标识模糊,安全治理,抱怨,低
物业及时清理化粪池外溢,环境卫生,表扬,中
小区内美容院顾客停车不规范,交通管理,抱怨,低
社区开展急救技能实操培训,安全治理,表扬,低
垃圾分类积分系统操作复杂,环境卫生,抱怨,低
物业协助安装公共监控系统,安全治理,表扬,低
小区内烧烤店油烟排放超标,环境卫生,抱怨,中
社区组织春节民俗文化展,文化生活,表扬,低
楼道内弱电井积水,安全治理,抱怨,中
物业及时修复破损人行道,安全治理,表扬,中
小区内培训机构空调外机噪音,文化生活,抱怨,低
社区开展交通安全警示教育,安全治理,表扬,低
垃圾分类督导员服务态度差,环境卫生,抱怨,低
物业协调安装健身器材,安全治理,表扬,低
小区内餐饮店污水管道堵塞,环境卫生,抱怨,中
社区组织重阳节慰问活动,文化生活,表扬,低
楼道内消防设施检查记录缺失,安全治理,抱怨,中
物业及时清理排水沟淤泥,环境卫生,表扬,低
小区内KTV隔音设施不完善,文化生活,抱怨,中
社区开展防诈骗知识竞赛,安全治理,表扬,低
垃圾分类点清洁不及时,环境卫生,抱怨,低
物业协助安装电动车充电桩,安全治理,表扬,中
小区内水果店占用人行道,环境卫生,抱怨,中
社区组织端午节文化传承活动,文化生活,表扬,低
楼道内电缆井门锁损坏,安全治理,抱怨,低
物业及时修复电梯困人故障,安全治理,表扬,高
小区内美容院音乐声音过大,文化生活,抱怨,低
社区开展消防安全实战演练,安全治理,表扬,低
垃圾分类宣传材料内容过时,环境卫生,抱怨,低
物业协调安装公共休闲座椅,安全治理,表扬,低
小区内餐饮店油烟净化器故障,环境卫生,抱怨,中
社区组织中秋传统文化体验,文化生活,表扬,低
楼道内应急疏散图破损,安全治理,抱怨,低
物业及时清理化粪池异味,环境卫生,表扬,低
小区内培训机构晚间灯光扰民,文化生活,抱怨,低
社区开展应急救援模拟演练,安全治理,表扬,低
垃圾分类积分兑换程序繁琐,环境卫生,抱怨,低
物业协助安装门禁系统升级,安全治理,表扬,低
小区内烧烤店顾客停车混乱,交通管理,抱怨,低
社区组织春节文艺汇演,文化生活,表扬,低
楼道内电表箱通风口堵塞,安全治理,抱怨,低
物业及时修复破损车行道,安全治理,表扬,中
小区内水果店冷藏设备噪音,环境卫生,抱怨,中
社区开展亲子手工制作活动,文化生活,表扬,低
健身器材维护保养记录不全,安全治理,抱怨,低
物业协调解决停车位分配,交通管理,表扬,低
小区内美容院装修粉尘污染,环境卫生,抱怨,中
社区组织重阳节健康讲座,文化生活,表扬,低
楼道内消防通道标识脱落,安全治理,抱怨,低
物业及时清理排水系统,环境卫生,表扬,低
小区内KTV低音震动扰民,文化生活,抱怨,中
社区开展防溺水实战演练,安全治理,表扬,低
垃圾分类督导员专业知识欠缺,环境卫生,抱怨,低
物业协助安装公共信息栏,安全治理,表扬,低
小区内餐饮店厨余垃圾外溢,环境卫生,抱怨,中
社区组织端午节民俗展示,文化生活,表扬,低
楼道内弱电间通风不良,安全治理,抱怨,低
物业及时修复电梯运行异常,安全治理,表扬,中
小区内培训机构广告牌灯光刺眼,文化生活,抱怨,低
社区开展消防安全知识普及,安全治理,表扬,低
垃圾分类宣传效果不理想,环境卫生,抱怨,低
物业协调安装儿童安全设施,安全治理,表扬,低
小区内水果店果核随地丢弃,环境卫生,抱怨,中
社区组织中秋诗词朗诵会,文化生活,表扬,低
楼道内配电箱防护罩缺失,安全治理,抱怨,中
物业及时清理化粪池堵塞,环境卫生,表扬,中
小区内美容院顾客喧哗,文化生活,抱怨,低
社区开展急救知识技能培训,安全治理,表扬,低
垃圾分类积分系统不稳定,环境卫生,抱怨,低
物业协助安装安防监控设备,安全治理,表扬,低
小区内烧烤店营业至深夜,文化生活,抱怨,中
社区组织春节传统文化讲座,文化生活,表扬,低
楼道内弱电井门变形,安全治理,抱怨,低
物业及时修复破损公共设施,安全治理,表扬,中
小区内培训机构占用公共资源,文化生活,抱怨,低
社区开展交通安全宣传周,安全治理,表扬,低
垃圾分类督导员巡查频次不足,环境卫生,抱怨,低
物业协调安装便民服务设施,安全治理,表扬,低
小区内餐饮店排风扇噪音大,环境卫生,抱怨,中
社区组织重阳节歌舞表演,文化生活,表扬,低
楼道内消防设施维护不到位,安全治理,抱怨,中
物业及时清理排水管道,环境卫生,表扬,低
小区内KTV音响设备老旧,文化生活,抱怨,中
社区开展防诈骗实战演练,安全治理,表扬,低
垃圾分类点卫生状况差,环境卫生,抱怨,中
物业协助安装电动车充电设施,安全治理,表扬,中
小区内水果店经营秩序混乱,环境卫生,抱怨,中
社区组织端午节龙舟文化展,文化生活,表扬,低
楼道内电缆井积水严重,安全治理,抱怨,中
物业及时修复电梯控制系统,安全治理,表扬,高
小区内美容院营业时间过长,文化生活,抱怨,低
社区开展消防安全隐患排查,安全治理,表扬,低
垃圾分类宣传方式单一,环境卫生,抱怨,低
物业协调安装公共健身器材,安全治理,表扬,低
小区内餐饮店油烟处理不当,环境卫生,抱怨,中
社区组织中秋民俗文化体验,文化生活,表扬,低
楼道内应急照明系统故障,安全治理,抱怨,中
物业及时清理化粪池污物,环境卫生,表扬,中
小区内培训机构管理不规范,文化生活,抱怨,低
社区开展应急救援知识竞赛,安全治理,表扬,低
垃圾分类积分兑换机制不合理,环境卫生,抱怨,低
物业协助安装智能门禁系统,安全治理,表扬,低
小区内烧烤店卫生监管不到位,环境卫生,抱怨,中
社区组织春节联欢晚会筹备,文化生活,表扬,低
楼道内电表箱标识不清,安全治理,抱怨,低
物业及时修复破损公共区域,安全治理,表扬,中
小区内水果店环境脏乱差,环境卫生,抱怨,中
社区开展亲子科普教育活动,文化生活,表扬,低
健身器材使用说明缺失,安全治理,抱怨,低
物业协调解决交通管理问题,交通管理,表扬,中
小区内美容院垃圾分类不规范,环境卫生,抱怨,低
社区组织重阳节敬老慰问,文化生活,表扬,低
楼道内消防通道畅通度差,安全治理,抱怨,中
物业及时清理排水设施,环境卫生,表扬,低
小区内KTV隔音效果不佳,文化生活,抱怨,中
社区开展防溺水安全培训,安全治理,表扬,低
垃圾分类督导员培训不足,环境卫生,抱怨,低
物业协助安装公共便民设施,安全治理,表扬,低
小区内餐饮店污水排放超标,环境卫生,抱怨,中
社区组织端午节传统文化传承,文化生活,表扬,低
楼道内弱电间管理混乱,安全治理,抱怨,低
物业及时修复电梯安全装置,安全治理,表扬,高
小区内培训机构扰民问题突出,文化生活,抱怨,中
社区开展消防安全宣传教育,安全治理,表扬,低
垃圾分类宣传工作不到位,环境卫生,抱怨,低
物业协调安装儿童娱乐设施,安全治理,表扬,低
小区内水果店经营扰民,环境卫生,抱怨,中
社区组织中秋文化主题活动,文化生活,表扬,低
楼道内配电箱安全警示缺失,安全治理,抱怨,中
物业及时清理化粪池问题,环境卫生,表扬,中
小区内美容院顾客管理不善,文化生活,抱怨,低
社区开展急救技能提升培训,安全治理,表扬,低
垃圾分类积分系统维护不及时,环境卫生,抱怨,低
物业协助安装安防系统升级,安全治理,表扬,低
小区内烧烤店夜间经营扰民,文化生活,抱怨,中
社区组织春节文化展示活动,文化生活,表扬,低
楼道内弱电井维护不到位,安全治理,抱怨,低
物业及时修复公共设施损坏,安全治理,表扬,中
小区内培训机构占用公共空间,文化生活,抱怨,低
社区开展交通安全知识普及,安全治理,表扬,低
垃圾分类督导员责任心不强,环境卫生,抱怨,低
物业协调安装便民服务设备,安全治理,表扬,低
小区内餐饮店环境卫生差,环境卫生,抱怨,中
社区组织重阳节文化讲座,文化生活,表扬,低
楼道内消防设施完好率低,安全治理,抱怨,中
物业及时清理排水系统维护,环境卫生,表扬,低
小区内KTV经营管理不规范,文化生活,抱怨,中
社区开展防诈骗技能培训,安全治理,表扬,低
垃圾分类点管理混乱,环境卫生,抱怨,中
物业协助安装电动车管理设施,安全治理,表扬,中
小区内水果店卫生状况堪忧,环境卫生,抱怨,中
社区组织端午节民俗文化生活,文化生活,表扬,低
楼道内电缆井安全管理缺失,安全治理,抱怨,中
物业及时修复电梯运行故障,安全治理,表扬,高
小区内美容院经营秩序混乱,文化生活,抱怨,低
社区开展消防安全综合整治,安全治理,表扬,低
垃圾分类宣传效果评估不足,环境卫生,抱怨,低
物业协调安装公共健身设备,安全治理,表扬,低
小区内餐饮店油烟污染严重,环境卫生,抱怨,中
社区组织中秋传统文化展示,文化生活,表扬,低
楼道内应急设施维护不善,安全治理,抱怨,中
物业及时清理化粪池维护,环境卫生,表扬,中
小区内培训机构管理混乱,文化生活,抱怨,低
社区开展应急救援综合演练,安全治理,表扬,低
垃圾分类积分制度不合理,环境卫生,抱怨,低
物业协助安装智能安防系统,安全治理,表扬,低
小区内烧烤店经营管理不善,环境卫生,抱怨,中
社区组织春节文化庆典活动,文化生活,表扬,低
楼道内电表箱安全管理不到位,安全治理,抱怨,低
物业及时修复公共区域破损,安全治理,表扬,中
小区内水果店环境卫生管理差,环境卫生,抱怨,中
社区开展亲子文化体验活动,文化生活,表扬,低
健身器材安全维护不及时,安全治理,抱怨,中
物业协调解决停车秩序问题,交通管理,表扬,中
小区内美容院垃圾处理不当,环境卫生,抱怨,低
社区组织重阳节敬老文化生活,文化生活,表扬,低
楼道内消防通道管理不规范,安全治理,抱怨,中
物业及时清理排水系统问题,环境卫生,表扬,低
小区内KTV环境管理混乱,文化生活,抱怨,中
社区开展防溺水综合整治,安全治理,表扬,低
垃圾分类督导员管理不到位,环境卫生,抱怨,低
物业协助安装公共便民服务,安全治理,表扬,低
小区内餐饮店卫生监管缺失,环境卫生,抱怨,中
社区组织端午节文化推广活动,文化生活,表扬,低
楼道内弱电间环境卫生差,安全治理,抱怨,低
物业及时修复电梯安全故障,安全治理,表扬,高
小区内培训机构环境扰民,文化生活,抱怨,中
社区开展消防安全综合治理,安全治理,表扬,低
垃圾分类宣传工作效果差,环境卫生,抱怨,低
物业协调安装儿童活动设施,安全治理,表扬,低
小区内水果店经营环境混乱,环境卫生,抱怨,中
社区组织中秋文化传承活动,文化生活,表扬,低
楼道内配电箱安全管理混乱,安全治理,抱怨,中
物业及时清理化粪池环境问题,环境卫生,表扬,中
